科修达有限公司,万科企业股份有限公司
四川雅化实业集团股份有限公司,深圳金奥博科技有限公司
青岛汉缆股份有限公司,青岛汉河集团股份有限公司
协鑫集成科技股份有限公司,瑞峰（张家港）光伏科技有限公司
苏州国鑫所投资有限公司,协鑫集成科技股份有限公司
周斌全,重庆市涪陵榨菜集团股份有限公司
天广中茂股份有限公司,邱茂国
中山达华智能科技股份有限公司,新东网科技有限公司
中山达华智能科技股份有限公司,方江涛
金字火腿股份有限公司,金字冷冻食品城有限公司
江苏旷达创业投资有限公司,旷达科技集团股份有限公司
杨晓玲,江苏银河电子股份有限公司
李安东,齐峰新材料股份有限公司
光正集团股份有限公司,孙烨
光正投资有限公司,光正集团股份有限公司
赵笃学,山东矿机集团股份有限公司
赵华涛,山东矿机集团股份有限公司
金杯电工股份有限公司,湖南云冷投资管理股份有限公司
杭州锅炉集团股份有限公司,钱学强
周银宝,杭州锅炉集团股份有限公司
杭州悦基节能科技有限公司,杭州锅炉集团股份有限公司
宋睿,成都云图控股股份有限公司
周福海,江苏亚太轻合金科技股份有限公司
银华财富资本管理（北京）有限公司,中化岩土集团股份有限公司
深圳市金新农科技股份有限公司,芜湖九派金新农产业股权投资基金（有限合伙）
陈俊海,金新农
梁桂秋,深圳市尚荣医疗股份有限公司
梁桂秋,深圳市尚荣医疗股份有限公司
安徽辉隆农资集团股份有限公司,安徽辉隆置业发展有限公司
洽洽食品股份有限公司,合肥华泰集团股份有限公司
合肥动力食品有限公司,洽洽食品股份有限公司
重庆拨萃商务信息咨询合伙企业（有限合伙）,巨人网络集团股份有限公司
江苏亚威机床股份有限公司,朱正强
森马集团有限公司,浙江森马服饰股份有限公司
浙江森马集团有限公司,浙江森马服饰股份有限公司
上海百润投资控股集团股份有限公司,刘晓东
姜煜峰,江苏通达动力科技股份有限公司
杨林,惠州中京电子科技股份有限公司
杨林,惠州中京电子科技股份有限公司
石聚彬,好想你
陈清州,海能达通信股份有限公司
浙江万安科技股份有限公司,万安集团有限公司
共青城志恒投资管理合伙企业（有限合伙）,江西恒大高新技术股份有限公司
石家庄以岭药业股份有限公司,以岭健康城科技有限公司
江苏国信股份有限公司,江苏舜天资产经营有限公司
江苏爱康科技股份有限公司,香港爱康电力国际控股有限公司
何启强,广东长青(集团)股份有限公司
常州亚玛顿股份有限公司,江苏中弘光伏工程技术有限公司
常州亚玛顿股份有限公司,江苏中弘光伏工程技术有限公司
常州亚玛顿股份有限公司,江苏中弘光伏工程技术有限公司
常州亚玛顿股份有限公司,江苏中弘光伏工程技术有限公司
厦门金达威集团股份有限公司,上海燃卡贸易有限公司
江斌,厦门金达威集团股份有限公司
江斌,厦门金达威集团股份有限公司
金达威,厦门佰盛特生物科技有限公司
宜昌交通旅游产业发展集团有限公司,湖北宜昌交运集团股份有限公司
华西能源工业股份有限公司,玉林川能华西环保发电有限公司
杭州永银投资合伙企业（有限合伙）,赞宇科技集团股份有限公司
林汝捷,福建雪人股份有限公司
林汝捷,福建雪人股份有限公司
跨境通宝电子商务股份有限公司,深圳前海帕拓逊网络技术有限公司
